Orthogroup	agresttis	amborella	aratha	azolla	ceratopteris	chara	gnetum	klebsormidium	marchantia	mesotaenium	oryza	physcomitrella	plambertiana	populus	salvinia	selaginella	sequoia	spirogloea	vitis	volvox	zmays
OG0033943	AagrBONN_117.60.1																				
OG0033944	AagrBONN_117.3960.1																				
OG0033945	AagrBONN_117.3150.1																				
OG0033946	AagrBONN_117.2000.1																				
OG0033947	AagrBONN_117.1011.1																				
OG0033948	AagrBONN_117.2744.1																				
OG0033949	AagrBONN_117.3186.1																				
OG0033950	AagrBONN_117.1336.1																				
OG0033951	AagrBONN_117.4038.1																				
OG0033952	AagrBONN_117.3392.1																				
OG0033953	AagrBONN_117.1903.1																				
OG0033954	AagrBONN_117.4087.1																				
OG0033955	AagrBONN_117.2901.1																				
OG0033956	AagrBONN_117.1308.1																				
OG0033957	AagrBONN_117.1360.1																				
OG0033958	AagrBONN_117.2274.1																				
OG0033959	AagrBONN_117.659.1																				
OG0033960	AagrBONN_117.3257.1																				
OG0033961	AagrBONN_117.134.2																				
OG0033962	AagrBONN_117.571.1																				
OG0033963	AagrBONN_117.661.1																				
OG0033964	AagrBONN_117.3062.1																				
OG0033965	AagrBONN_117.1527.1																				
OG0033966	AagrBONN_117.3725.1																				
OG0033967	AagrBONN_117.2049.1																				
OG0033968	AagrBONN_117.2092.2																				
OG0033969	AagrBONN_117.964.1																				
OG0033970	AagrBONN_117.2771.1																				
OG0033971	AagrBONN_117.3364.1																				
OG0033972	AagrBONN_117.3712.1																				
OG0033973	AagrBONN_117.3148.1																				
OG0033974	AagrBONN_117.2329.1																				
OG0033975	AagrBONN_117.4023.1																				
OG0033976	AagrBONN_117.189.1																				
OG0033977	AagrBONN_117.2803.1																				
OG0033978	AagrBONN_117.2938.1																				
OG0033979	AagrBONN_117.367.1																				
OG0033980	AagrBONN_117.1722.1																				
OG0033981	AagrBONN_117.3070.2																				
OG0033982	AagrBONN_117.2577.1																				
OG0033983	AagrBONN_117.3705.1																				
OG0033984	AagrBONN_117.2768.1																				
OG0033985	AagrBONN_117.178.1																				
OG0033986	AagrBONN_117.2242.1																				
OG0033987	AagrBONN_117.1364.1																				
OG0033988	AagrBONN_117.1104.1																				
OG0033989	AagrBONN_117.1080.1																				
OG0033990	AagrBONN_117.2776.1																				
OG0033991	AagrBONN_117.298.1																				
OG0033992	AagrBONN_117.3071.1																				
OG0033993	AagrBONN_117.3616.1																				
OG0033994	AagrBONN_117.1163.1																				
OG0033995	AagrBONN_117.2568.1																				
OG0033996	AagrBONN_117.3418.1																				
OG0033997	AagrBONN_117.261.1																				
OG0033998	AagrBONN_117.2384.1																				
OG0033999	AagrBONN_117.1200.1																				
OG0034000	AagrBONN_117.3464.1																				
OG0034001	AagrBONN_117.1711.1																				
OG0034002	AagrBONN_117.1811.1																				
OG0034003	AagrBONN_117.1278.1																				
OG0034004	AagrBONN_117.790.6																				
OG0034005	AagrBONN_117.2302.1																				
OG0034006	AagrBONN_117.3946.1																				
OG0034007	AagrBONN_117.2780.1																				
OG0034008	AagrBONN_117.3769.1																				
OG0034009	AagrBONN_117.3069.1																				
OG0034010	AagrBONN_117.814.1																				
OG0034011	AagrBONN_117.1217.1																				
OG0034012	AagrBONN_117.3810.1																				
OG0034013	AagrBONN_117.3515.1																				
OG0034014	AagrBONN_117.2617.1																				
OG0034015	AagrBONN_117.244.1																				
OG0034016	AagrBONN_117.90.1																				
OG0034017	AagrBONN_117.3552.1																				
OG0034018	AagrBONN_117.2609.1																				
OG0034019	AagrBONN_117.1327.1																				
OG0034020	AagrBONN_117.499.1																				
OG0034021	AagrBONN_117.3121.1																				
OG0034022	AagrBONN_117.74.1																				
OG0034023	AagrBONN_117.941.1																				
OG0034024	AagrBONN_117.2087.1																				
OG0034025	AagrBONN_117.3867.1																				
OG0034026	AagrBONN_117.2380.1																				
OG0034027	AagrBONN_117.2439.1																				
OG0034028	AagrBONN_117.1933.1																				
OG0034029	AagrBONN_117.1088.1																				
OG0034030	AagrBONN_117.434.1																				
OG0034031	AagrBONN_117.236.1																				
OG0034032	AagrBONN_117.368.1																				
OG0034033	AagrBONN_117.243.1																				
OG0034034	AagrBONN_117.3445.1																				
OG0034035	AagrBONN_117.1039.1																				
OG0034036	AagrBONN_117.2798.1																				
OG0034037	AagrBONN_117.1905.1																				
OG0034038	AagrBONN_117.108.1																				
OG0034039	AagrBONN_117.2455.1																				
OG0034040	AagrBONN_117.1873.1																				
OG0034041	AagrBONN_117.943.1																				
OG0034042	AagrBONN_117.713.1																				
OG0034043	AagrBONN_117.1076.1																				
OG0034044	AagrBONN_117.1214.1																				
OG0034045	AagrBONN_117.185.1																				
OG0034046	AagrBONN_117.3700.1																				
OG0034047	AagrBONN_117.3477.1																				
OG0034048	AagrBONN_117.2208.1																				
OG0034049	AagrBONN_117.61.1																				
OG0034050	AagrBONN_117.1800.1																				
OG0034051	AagrBONN_117.2052.1																				
OG0034052	AagrBONN_117.3614.1																				
OG0034053	AagrBONN_117.1293.1																				
OG0034054	AagrBONN_117.1904.1																				
OG0034055	AagrBONN_117.1687.1																				
OG0034056	AagrBONN_117.765.1																				
OG0034057	AagrBONN_117.662.1																				
OG0034058	AagrBONN_117.1240.1																				
OG0034059	AagrBONN_117.1316.1																				
OG0034060	AagrBONN_117.1148.1																				
OG0034061	AagrBONN_117.4192.1																				
OG0034062	AagrBONN_117.2115.1																				
OG0034063	AagrBONN_117.3332.1																				
OG0034064	AagrBONN_117.3165.1																				
OG0034065	AagrBONN_117.961.1																				
OG0034066	AagrBONN_117.2169.1																				
OG0034067	AagrBONN_117.204.1																				
OG0034068	AagrBONN_117.828.1																				
OG0034069	AagrBONN_117.191.1																				
OG0034070	AagrBONN_117.1294.1																				
OG0034071	AagrBONN_117.2348.1																				
OG0034072	AagrBONN_117.1451.1																				
OG0034073	AagrBONN_117.3198.1																				
OG0034074	AagrBONN_117.2735.1																				
OG0034075	AagrBONN_117.2256.1																				
OG0034076	AagrBONN_117.1468.1																				
OG0034077	AagrBONN_117.763.1																				
OG0034078	AagrBONN_117.837.1																				
OG0034079	AagrBONN_117.1009.1																				
OG0034080	AagrBONN_117.4138.1																				
OG0034081	AagrBONN_117.1534.1																				
OG0034082	AagrBONN_117.3910.1																				
OG0034083	AagrBONN_117.1851.1																				
OG0034084	AagrBONN_117.466.1																				
OG0034085	AagrBONN_117.2197.1																				
OG0034086	AagrBONN_117.1105.1																				
OG0034087	AagrBONN_117.2280.1																				
OG0034088	AagrBONN_117.2990.1																				
OG0034089	AagrBONN_117.2631.1																				
OG0034090	AagrBONN_117.2159.2																				
OG0034091	AagrBONN_117.2306.1																				
OG0034092	AagrBONN_117.730.1																				
OG0034093	AagrBONN_117.772.1																				
OG0034094	AagrBONN_117.649.1																				
OG0034095	AagrBONN_117.1681.1																				
OG0034096	AagrBONN_117.2382.1																				
OG0034097	AagrBONN_117.1052.1																				
OG0034098	AagrBONN_117.752.1																				
OG0034099	AagrBONN_117.1193.1																				
OG0034100	AagrBONN_117.914.2																				
OG0034101	AagrBONN_117.2314.1																				
OG0034102	AagrBONN_117.3697.1																				
OG0034103	AagrBONN_117.1958.1																				
OG0034104	AagrBONN_117.3289.1																				
OG0034105	AagrBONN_117.2961.1																				
OG0034106	AagrBONN_117.1700.1																				
OG0034107	AagrBONN_117.2198.1																				
OG0034108	AagrBONN_117.843.1																				
OG0034109	AagrBONN_117.1996.1																				
OG0034110	AagrBONN_117.2627.1																				
OG0034111	AagrBONN_117.1710.1																				
OG0034112	AagrBONN_117.222.6																				
OG0034113	AagrBONN_117.42.1																				
OG0034114	AagrBONN_117.815.1																				
OG0034115	AagrBONN_117.2566.1																				
OG0034116	AagrBONN_117.2513.1																				
OG0034117	AagrBONN_117.1942.1																				
OG0034118	AagrBONN_117.1901.1																				
OG0034119	AagrBONN_117.1177.1																				
OG0034120	AagrBONN_117.1389.1																				
OG0034121	AagrBONN_117.3453.1																				
OG0034122	AagrBONN_117.2847.2																				
OG0034123	AagrBONN_117.2571.1																				
OG0034124	AagrBONN_117.1561.1																				
OG0034125	AagrBONN_117.1677.1																				
OG0034126	AagrBONN_117.2615.1																				
OG0034127	AagrBONN_117.1517.1																				
OG0034128	AagrBONN_117.722.1																				
OG0034129	AagrBONN_117.1128.1																				
OG0034130	AagrBONN_117.825.1																				
OG0034131	AagrBONN_117.2885.1																				
OG0034132	AagrBONN_117.119.1																				
OG0034133	AagrBONN_117.1976.1																				
OG0034134	AagrBONN_117.2649.1																				
OG0034135	AagrBONN_117.1937.1																				
OG0034136	AagrBONN_117.2909.1																				
OG0034137	AagrBONN_117.2794.1																				
OG0034138	AagrBONN_117.3715.1																				
OG0034139	AagrBONN_117.2388.1																				
OG0034140	AagrBONN_117.3594.1																				
OG0034141	AagrBONN_117.249.1																				
OG0034142	AagrBONN_117.2058.1																				
OG0034143	AagrBONN_117.3592.1																				
OG0034144	AagrBONN_117.3376.1																				
OG0034145	AagrBONN_117.2966.1																				
OG0034146	AagrBONN_117.3613.1																				
OG0034147	AagrBONN_117.2051.1																				
OG0034148	AagrBONN_117.2007.1																				
OG0034149	AagrBONN_117.3974.1																				
OG0034150	AagrBONN_117.4101.1																				
OG0034151	AagrBONN_117.2985.1																				
OG0034152	AagrBONN_117.1067.1																				
OG0034153	AagrBONN_117.2188.1																				
OG0034154	AagrBONN_117.2937.1																				
OG0034155	AagrBONN_117.2122.1																				
OG0034156	AagrBONN_117.2496.1																				
OG0034157	AagrBONN_117.2807.1																				
OG0034158	AagrBONN_117.1832.1																				
OG0034159	AagrBONN_117.960.1																				
OG0034160	AagrBONN_117.3583.1																				
OG0034161	AagrBONN_117.1106.1																				
OG0034162	AagrBONN_117.3248.1																				
OG0034163	AagrBONN_117.915.1																				
OG0034164	AagrBONN_117.543.1																				
OG0034165	AagrBONN_117.2672.1																				
OG0034166	AagrBONN_117.184.1																				
OG0034167	AagrBONN_117.2105.1																				
OG0034168	AagrBONN_117.3799.1																				
OG0034169	AagrBONN_117.216.1																				
OG0034170	AagrBONN_117.688.1																				
OG0034171	AagrBONN_117.597.1																				
OG0034172	AagrBONN_117.1024.1																				
OG0034173	AagrBONN_117.1326.1																				
OG0034174	AagrBONN_117.1279.1																				
OG0034175	AagrBONN_117.771.1																				
OG0034176	AagrBONN_117.4094.1																				
OG0034177	AagrBONN_117.2236.1																				
OG0034178	AagrBONN_117.3539.1																				
OG0034179	AagrBONN_117.2293.1																				
OG0034180	AagrBONN_117.3975.1																				
OG0034181	AagrBONN_117.3076.1																				
OG0034182	AagrBONN_117.3486.1																				
OG0034183	AagrBONN_117.2853.1																				
OG0034184	AagrBONN_117.161.1																				
OG0034185	AagrBONN_117.2475.1																				
OG0034186	AagrBONN_117.1102.1																				
OG0034187	AagrBONN_117.974.1																				
OG0034188	AagrBONN_117.2309.1																				
OG0034189	AagrBONN_117.1733.1																				
OG0034190	AagrBONN_117.431.1																				
OG0034191	AagrBONN_117.2986.1																				
OG0034192	AagrBONN_117.3674.1																				
OG0034193	AagrBONN_117.1185.1																				
OG0034194	AagrBONN_117.1369.1																				
OG0034195	AagrBONN_117.990.1																				
OG0034196	AagrBONN_117.4153.1																				
OG0034197	AagrBONN_117.183.1																				
OG0034198	AagrBONN_117.1884.4																				
OG0034199	AagrBONN_117.1359.1																				
OG0034200	AagrBONN_117.3461.1																				
OG0034201	AagrBONN_117.795.1																				
OG0034202	AagrBONN_117.138.1																				
OG0034203	AagrBONN_117.2982.2																				
OG0034204	AagrBONN_117.213.1																				
OG0034205	AagrBONN_117.2499.1																				
OG0034206	AagrBONN_117.1716.1																				
OG0034207	AagrBONN_117.3825.1																				
OG0034208	AagrBONN_117.113.1																				
OG0034209	AagrBONN_117.1188.1																				
OG0034210	AagrBONN_117.1235.1																				
OG0034211	AagrBONN_117.1111.1																				
OG0034212	AagrBONN_117.3337.1																				
OG0034213	AagrBONN_117.2936.1																				
OG0034214	AagrBONN_117.509.1																				
OG0034215	AagrBONN_117.3638.1																				
OG0034216	AagrBONN_117.2103.1																				
OG0034217	AagrBONN_117.1195.1																				
OG0034218	AagrBONN_117.464.1																				
OG0034219	AagrBONN_117.3994.1																				
OG0034220	AagrBONN_117.1183.1																				
OG0034221	AagrBONN_117.3593.1																				
OG0034222	AagrBONN_117.1693.1																				
OG0034223	AagrBONN_117.717.1																				
OG0034224	AagrBONN_117.3497.1																				
OG0034225	AagrBONN_117.2525.1																				
OG0034226	AagrBONN_117.2954.1																				
OG0034227	AagrBONN_117.816.1																				
OG0034228	AagrBONN_117.2674.2																				
OG0034229	AagrBONN_117.55.1																				
OG0034230	AagrBONN_117.133.1																				
OG0034231	AagrBONN_117.775.1																				
OG0034232	AagrBONN_117.2524.1																				
OG0034233	AagrBONN_117.916.1																				
OG0034234	AagrBONN_117.652.1																				
OG0034235	AagrBONN_117.2929.1																				
OG0034236	AagrBONN_117.3402.1																				
OG0034237	AagrBONN_117.1339.1																				
OG0034238	AagrBONN_117.2881.1																				
OG0034239	AagrBONN_117.172.1																				
OG0034240	AagrBONN_117.3722.1																				
OG0034241	AagrBONN_117.305.1																				
OG0034242	AagrBONN_117.97.1																				
OG0034243	AagrBONN_117.1943.1																				
OG0034244	AagrBONN_117.3977.1																				
OG0034245	AagrBONN_117.1098.1																				
OG0034246	AagrBONN_117.3707.1																				
OG0034247	AagrBONN_117.2024.1																				
OG0034248	AagrBONN_117.686.1																				
OG0034249	AagrBONN_117.2407.1																				
OG0034250	AagrBONN_117.1344.3																				
OG0034251	AagrBONN_117.1888.1																				
OG0034252	AagrBONN_117.3195.1																				
OG0034253	AagrBONN_117.2944.1																				
OG0034254	AagrBONN_117.1048.1																				
OG0034255	AagrBONN_117.1169.1																				
OG0034256	AagrBONN_117.2016.1																				
OG0034257	AagrBONN_117.3527.1																				
OG0034258	AagrBONN_117.3001.1																				
OG0034259	AagrBONN_117.4059.1																				
OG0034260	AagrBONN_117.3618.1																				
OG0034261	AagrBONN_117.1455.1																				
OG0034262	AagrBONN_117.563.1																				
OG0034263	AagrBONN_117.246.1																				
OG0034264	AagrBONN_117.812.1																				
OG0034265	AagrBONN_117.2754.1																				
OG0034266	AagrBONN_117.3172.1																				
OG0034267	AagrBONN_117.762.1																				
OG0034268	AagrBONN_117.1375.1																				
OG0034269	AagrBONN_117.3037.1																				
OG0034270	AagrBONN_117.2170.1																				
OG0034271	AagrBONN_117.3909.1																				
OG0034272	AagrBONN_117.3704.1																				
OG0034273	AagrBONN_117.262.1																				
OG0034274	AagrBONN_117.3388.1																				
OG0034275	AagrBONN_117.602.1																				
OG0034276	AagrBONN_117.634.1																				
OG0034277	AagrBONN_117.3500.2																				
OG0034278	AagrBONN_117.2434.1																				
OG0034279	AagrBONN_117.1651.1																				
OG0034280	AagrBONN_117.2443.3																				
OG0034281	AagrBONN_117.3882.1																				
OG0034282	AagrBONN_117.1041.1																				
OG0034283	AagrBONN_117.2905.1																				
OG0034284	AagrBONN_117.2943.1																				
OG0034285	AagrBONN_117.3591.1																				
OG0034286	AagrBONN_117.150.1																				
OG0034287	AagrBONN_117.387.1																				
OG0034288	AagrBONN_117.2874.1																				
OG0034289	AagrBONN_117.3695.1																				
OG0034290	AagrBONN_117.1768.1																				
OG0034291	AagrBONN_117.913.1																				
OG0034292	AagrBONN_117.846.1																				
OG0034293	AagrBONN_117.3153.1																				
OG0034294	AagrBONN_117.2682.1																				
OG0034295	AagrBONN_117.71.1																				
OG0034296	AagrBONN_117.2922.1																				
OG0034297	AagrBONN_117.761.1																				
OG0034298	AagrBONN_117.975.1																				
OG0034299	AagrBONN_117.1850.1																				
OG0034300	AagrBONN_117.1806.1																				
OG0034301	AagrBONN_117.2452.1																				
OG0034302	AagrBONN_117.3533.1																				
OG0034303	AagrBONN_117.2551.1																				
OG0034304	AagrBONN_117.2074.1																				
OG0034305	AagrBONN_117.1103.1																				
OG0034306	AagrBONN_117.515.2																				
OG0034307	AagrBONN_117.2444.1																				
OG0034308	AagrBONN_117.799.1																				
OG0034309	AagrBONN_117.282.1																				
OG0034310	AagrBONN_117.21.1																				
OG0034311	AagrBONN_117.2984.1																				
OG0034312	AagrBONN_117.1324.1																				
OG0034313	AagrBONN_117.3386.1																				
OG0034314	AagrBONN_117.1469.1																				
OG0034315	AagrBONN_117.2346.1																				
OG0034316	AagrBONN_117.1355.1																				
OG0034317	AagrBONN_117.1070.1																				
OG0034318	AagrBONN_117.3301.1																				
OG0034319	AagrBONN_117.2523.1																				
OG0034320	AagrBONN_117.4198.1																				
OG0034321	AagrBONN_117.3459.1																				
OG0034322	AagrBONN_117.14.1																				
OG0034323	AagrBONN_117.2531.1																				
OG0034324	AagrBONN_117.3002.1																				
OG0034325	AagrBONN_117.2179.1																				
OG0034326	AagrBONN_117.1023.1																				
OG0034327	AagrBONN_117.1118.1																				
OG0034328	AagrBONN_117.3782.1																				
OG0034329	AagrBONN_117.668.1																				
OG0034330	AagrBONN_117.203.1																				
OG0034331	AagrBONN_117.1961.1																				
OG0034332	AagrBONN_117.564.1																				
OG0034333	AagrBONN_117.2550.1																				
OG0034334	AagrBONN_117.1117.1																				
OG0034335	AagrBONN_117.470.1																				
OG0034336	AagrBONN_117.4117.1																				
OG0034337	AagrBONN_117.1833.1																				
OG0034338	AagrBONN_117.1268.1																				
OG0034339	AagrBONN_117.507.1																				
OG0034340	AagrBONN_117.190.1																				
OG0034341	AagrBONN_117.256.1																				
OG0034342	AagrBONN_117.1649.1																				
OG0034343	AagrBONN_117.2651.1																				
OG0034344	AagrBONN_117.1358.1																				
OG0034345	AagrBONN_117.1443.1																				
OG0034346	AagrBONN_117.3196.1																				
OG0034347	AagrBONN_117.2012.1																				
OG0034348	AagrBONN_117.3420.1																				
OG0034349	AagrBONN_117.1151.1																				
OG0034350	AagrBONN_117.1182.1																				
OG0034351	AagrBONN_117.260.1																				
OG0034352	AagrBONN_117.1586.1																				
OG0034353	AagrBONN_117.1391.1																				
OG0034354	AagrBONN_117.1728.1																				
OG0034355	AagrBONN_117.3895.1																				
OG0034356	AagrBONN_117.781.1																				
OG0034357	AagrBONN_117.2663.1																				
OG0034358	AagrBONN_117.609.1																				
OG0034359	AagrBONN_117.2449.1																				
OG0034360	AagrBONN_117.1250.1																				
OG0034361	AagrBONN_117.2308.1																				
OG0034362	AagrBONN_117.1349.1																				
OG0034363	AagrBONN_117.1748.1																				
OG0034364	AagrBONN_117.1340.1																				
OG0034365	AagrBONN_117.3216.1																				
OG0034366	AagrBONN_117.1941.1																				
OG0034367	AagrBONN_117.2713.1																				
OG0034368	AagrBONN_117.2143.1																				
OG0034369	AagrBONN_117.1300.1																				
OG0034370	AagrBONN_117.3907.1																				
OG0034371	AagrBONN_117.2126.1																				
OG0034372	AagrBONN_117.2460.1																				
OG0034373	AagrBONN_117.3020.1																				
OG0034374	AagrBONN_117.3586.1																				
OG0034375	AagrBONN_117.1776.1																				
OG0034376	AagrBONN_117.922.1																				
OG0034377	AagrBONN_117.4109.1																				
OG0034378	AagrBONN_117.4057.1																				
OG0034379	AagrBONN_117.1701.1																				
OG0034380	AagrBONN_117.3215.1																				
OG0034381	AagrBONN_117.650.1																				
OG0034382	AagrBONN_117.2367.1																				
OG0034383	AagrBONN_117.2778.1																				
OG0034384	AagrBONN_117.1265.1																				
OG0034385	AagrBONN_117.852.1																				
OG0034386	AagrBONN_117.3456.1																				
OG0034387	AagrBONN_117.986.1																				
OG0034388	AagrBONN_117.1447.1																				
OG0034389	AagrBONN_117.2987.1																				
OG0034390	AagrBONN_117.332.1																				
OG0034391	AagrBONN_117.1620.1																				
OG0034392	AagrBONN_117.1990.1																				
OG0034393	AagrBONN_117.1322.1																				
OG0034394	AagrBONN_117.2842.1																				
OG0034395	AagrBONN_117.3361.1																				
OG0034396	AagrBONN_117.3892.1																				
OG0034397	AagrBONN_117.1986.1																				
OG0034398	AagrBONN_117.355.1																				
OG0034399	AagrBONN_117.181.1																				
OG0034400	AagrBONN_117.3620.1																				
OG0034401	AagrBONN_117.3612.1																				
OG0034402	AagrBONN_117.4114.1																				
OG0034403	AagrBONN_117.3194.1																				
OG0034404	AagrBONN_117.414.1																				
OG0034405	AagrBONN_117.2474.1																				
OG0034406	AagrBONN_117.4136.1																				
OG0034407	AagrBONN_117.3193.1																				
OG0034408	AagrBONN_117.1913.1																				
OG0034409	AagrBONN_117.1883.1																				
OG0034410	AagrBONN_117.3778.1																				
OG0034411	AagrBONN_117.754.1																				
OG0034412	AagrBONN_117.163.1																				
OG0034413	AagrBONN_117.2342.1																				
OG0034414	AagrBONN_117.1658.1																				
OG0034415	AagrBONN_117.2333.1																				
OG0034416	AagrBONN_117.1167.1																				
OG0034417	AagrBONN_117.2716.1																				
OG0034418	AagrBONN_117.2497.1																				
OG0034419	AagrBONN_117.1145.1																				
OG0034420	AagrBONN_117.3081.1																				
OG0034421	AagrBONN_117.2313.1																				
OG0034422	AagrBONN_117.600.1																				
OG0034423	AagrBONN_117.3059.1																				
OG0034424	AagrBONN_117.1529.1																				
OG0034425	AagrBONN_117.794.1																				
OG0034426	AagrBONN_117.2685.1																				
OG0034427	AagrBONN_117.2294.1																				
OG0034428	AagrBONN_117.304.1																				
OG0034429	AagrBONN_117.2964.1																				
OG0034430	AagrBONN_117.3733.1																				
OG0034431	AagrBONN_117.2216.1																				
OG0034432	AagrBONN_117.2230.1																				
OG0034433	AagrBONN_117.1575.1																				
OG0034434	AagrBONN_117.3929.1																				
OG0034435	AagrBONN_117.1244.1																				
OG0034436	AagrBONN_117.2623.1																				
OG0034437	AagrBONN_117.2421.1																				
OG0034438	AagrBONN_117.303.1																				
OG0034439	AagrBONN_117.2315.1																				
OG0034440	AagrBONN_117.1919.1																				
OG0034441	AagrBONN_117.1470.1																				
OG0034442	AagrBONN_117.1819.1																				
OG0034443	AagrBONN_117.1627.1																				
OG0034444	AagrBONN_117.1423.1																				
OG0034445	AagrBONN_117.500.1																				
OG0034446	AagrBONN_117.2187.1																				
OG0034447	AagrBONN_117.3807.1																				
OG0034448	AagrBONN_117.1708.3																				
OG0034449	AagrBONN_117.43.1																				
OG0034450	AagrBONN_117.3540.2																				
OG0034451	AagrBONN_117.927.1																				
OG0034452	AagrBONN_117.1262.1																				
OG0034453	AagrBONN_117.4021.1																				
OG0034454	AagrBONN_117.918.1																				
OG0034455	AagrBONN_117.864.1																				
OG0034456	AagrBONN_117.2244.1																				
OG0034457	AagrBONN_117.3615.1																				
OG0034458	AagrBONN_117.2201.1																				
OG0034459	AagrBONN_117.1065.1																				
OG0034460	AagrBONN_117.3764.1																				
OG0034461	AagrBONN_117.965.1																				
OG0034462	AagrBONN_117.2353.1																				
OG0034463	AagrBONN_117.1562.1																				
OG0034464	AagrBONN_117.2829.1																				
OG0034465	AagrBONN_117.275.1																				
OG0034466	AagrBONN_117.1798.1																				
OG0034467	AagrBONN_117.1923.1																				
OG0034468	AagrBONN_117.753.1																				
OG0034469	AagrBONN_117.87.1																				
OG0034470	AagrBONN_117.536.1																				
OG0034471	AagrBONN_117.2507.1																				
OG0034472	AagrBONN_117.109.1																				
OG0034473	AagrBONN_117.3143.1																				
OG0034474	AagrBONN_117.2424.1																				
OG0034475	AagrBONN_117.1784.1																				
OG0034476	AagrBONN_117.1633.1																				
OG0034477	AagrBONN_117.3434.1																				
OG0034478	AagrBONN_117.4122.1																				
OG0034479	AagrBONN_117.3872.1																				
OG0034480	AagrBONN_117.1483.1																				
OG0034481	AagrBONN_117.1390.1																				
OG0034482	AagrBONN_117.2357.1																				
OG0034483	AagrBONN_117.1020.1																				
OG0034484	AagrBONN_117.3720.2																				
OG0034485	AagrBONN_117.1977.1																				
OG0034486	AagrBONN_117.3601.1																				
OG0034487	AagrBONN_117.2150.1																				
OG0034488	AagrBONN_117.4000.1																				
OG0034489	AagrBONN_129.1.1																				
OG0034490	AagrBONN_13.1.1																				
OG0034491	AagrBONN_171.3.1																				
OG0034492	AagrBONN_185.3.1																				
OG0034493	AagrBONN_19.20.1																				
OG0034494	AagrBONN_19.19.1																				
OG0034495	AagrBONN_19.1.1																				
OG0034496	AagrBONN_199.41.1																				
OG0034497	AagrBONN_199.5.1																				
OG0034498	AagrBONN_199.10.1																				
OG0034499	AagrBONN_21.3.1																				
OG0034500	AagrBONN_228.996.1																				
OG0034501	AagrBONN_228.5472.1																				
OG0034502	AagrBONN_228.2303.1																				
