OG0004673	AagrBONN_228.1440.1	AmTr_v1.0_scaffold00012.71, AmTr_v1.0_scaffold00027.71	AT3G48750.1		Cericv21014231m, Cericv21128443m	GBG79694	TnS000865421t03	Klenit1_14234	PTQ42109	ME000124S00189	Os02t0123100_01	Pp3c2_18480V3.1.p, Pp3c3_15290V3.1.p	PILA_DCR/hiseq/c103163_g1_i1|m.102506, PILA_S_1kb_1/019147|m.503050, PILA_V/hiseq/c40074_g1_i1|m.13706	Potri.004G133500.6.p	Sacu_v1.1_s0010.g004623, Sacu_v1.1_s0138.g022574	EFJ_139306	SEGI_05262	SM000027S09671, SM000081S22648, SM000125S26111	VIT_15s0045g00310.t01	Vocar20015085m	Zm00001eb001260_P001, Zm00001eb403940_P002
OG0007661	AagrBONN_344.4329.1	AmTr_v1.0_scaffold00109.78	AT4G28980.2	Azfi_s0686.g082074	Cericv21070574m	GBG61470	TnS000029377t01	Klenit1_6160	PTQ42483	ME000360S06223	Os06t0334400_01	Pp3c22_9740V3.1.p	PILA_BRS/miseq/c18477_g1_i1|m.17606	Potri.018G083300.2.p	Sacu_v1.1_s0030.g010408	EFJ_13179	SEGI_15496		VIT_11s0016g03650.t01	Vocar20010084m, Vocar20013243m	Zm00001eb278130_P001
OG0000640	AagrBONN_368.220.2	AmTr_v1.0_scaffold00001.563, AmTr_v1.0_scaffold00048.138	AT1G15570.1, AT1G44110.1, AT1G47210.2, AT1G47220.1, AT1G47230.2, AT1G77390.1, AT1G80370.1, AT2G01310.1, AT5G11300.1, AT5G25380.4, AT5G43080.1	Azfi_s0003.g008079, Azfi_s0006.g010440, Azfi_s0022.g016140, Azfi_s0051.g031411, Azfi_s0127.g048725	Cericv21030416m, Cericv21090557m, Cericv21101215m, Cericv21111163m	GBG61580, GBG78114	TnS000166225t01, TnS000692159t07	Klenit1_4910	PTQ43446	ME000058S08628, ME000428S07246	Os01t0233100_00, Os01t0233500_01, Os03t0607600_00, Os05t0237100_01, Os12t0298950_00, Os12t0502300_01, Os12t0581800_01	Pp3c14_23640V3.1.p, Pp3c17_22710V3.1.p, Pp3c1_38770V3.1.p, Pp3c1_39040V3.1.p, Pp3c1_39100V3.1.p, Pp3c1_39120V3.1.p, Pp3c2_8700V3.1.p, Pp3c2_8770V3.1.p, Pp3c2_8780V3.1.p, Pp3c2_9020V3.1.p	PILA_E1/hiseq/c17804_g1_i3|m.3575, PILA_E1_2kb/000174|m.394378, PILA_K_S1/c14937_g1_i2|m.190833	Potri.001G177100.2.p, Potri.002G080000.1.p, Potri.002G121500.1.p, Potri.003G058200.2.p, Potri.005G181400.1.p, Potri.006G247200.1.p, Potri.009G093100.4.p, Potri.014G021100.1.p, Potri.018G034100.1.p	Sacu_v1.1_s0020.g008053, Sacu_v1.1_s0031.g010609, Sacu_v1.1_s0186.g025046, Sacu_v1.1_s0262.g026906, Sacu_v1.1_s0416.g027354	EFJ_427739, EFJ_442428, EFJ_97411, EFJ_97773	SEGI_25337, SEGI_38253, SEGI_41085	SM000053S17381, SM000057S18407, SM000082S22888	VIT_03s0091g00280.t01, VIT_04s0008g04260.t01, VIT_09s0002g05240.t01, VIT_18s0001g02060.t01, VIT_18s0001g02080.t01, VIT_18s0001g09580.t01	Vocar20005704m	Zm00001eb030090_P001, Zm00001eb051770_P001, Zm00001eb128470_P002, Zm00001eb134910_P001, Zm00001eb219220_P001, Zm00001eb227730_P001, Zm00001eb339350_P003, Zm00001eb350330_P002, Zm00001eb400540_P001, Zm00001eb400550_P001, Zm00001eb409420_P004
OG0000640	AagrBONN_368.220.2	AmTr_v1.0_scaffold00001.563, AmTr_v1.0_scaffold00048.138	AT1G15570.1, AT1G44110.1, AT1G47210.2, AT1G47220.1, AT1G47230.2, AT1G77390.1, AT1G80370.1, AT2G01310.1, AT5G11300.1, AT5G25380.4, AT5G43080.1	Azfi_s0003.g008079, Azfi_s0006.g010440, Azfi_s0022.g016140, Azfi_s0051.g031411, Azfi_s0127.g048725	Cericv21030416m, Cericv21090557m, Cericv21101215m, Cericv21111163m	GBG61580, GBG78114	TnS000166225t01, TnS000692159t07	Klenit1_4910	PTQ43446	ME000058S08628, ME000428S07246	Os01t0233100_00, Os01t0233500_01, Os03t0607600_00, Os05t0237100_01, Os12t0298950_00, Os12t0502300_01, Os12t0581800_01	Pp3c14_23640V3.1.p, Pp3c17_22710V3.1.p, Pp3c1_38770V3.1.p, Pp3c1_39040V3.1.p, Pp3c1_39100V3.1.p, Pp3c1_39120V3.1.p, Pp3c2_8700V3.1.p, Pp3c2_8770V3.1.p, Pp3c2_8780V3.1.p, Pp3c2_9020V3.1.p	PILA_E1/hiseq/c17804_g1_i3|m.3575, PILA_E1_2kb/000174|m.394378, PILA_K_S1/c14937_g1_i2|m.190833	Potri.001G177100.2.p, Potri.002G080000.1.p, Potri.002G121500.1.p, Potri.003G058200.2.p, Potri.005G181400.1.p, Potri.006G247200.1.p, Potri.009G093100.4.p, Potri.014G021100.1.p, Potri.018G034100.1.p	Sacu_v1.1_s0020.g008053, Sacu_v1.1_s0031.g010609, Sacu_v1.1_s0186.g025046, Sacu_v1.1_s0262.g026906, Sacu_v1.1_s0416.g027354	EFJ_427739, EFJ_442428, EFJ_97411, EFJ_97773	SEGI_25337, SEGI_38253, SEGI_41085	SM000053S17381, SM000057S18407, SM000082S22888	VIT_03s0091g00280.t01, VIT_04s0008g04260.t01, VIT_09s0002g05240.t01, VIT_18s0001g02060.t01, VIT_18s0001g02080.t01, VIT_18s0001g09580.t01	Vocar20005704m	Zm00001eb030090_P001, Zm00001eb051770_P001, Zm00001eb128470_P002, Zm00001eb134910_P001, Zm00001eb219220_P001, Zm00001eb227730_P001, Zm00001eb339350_P003, Zm00001eb350330_P002, Zm00001eb400540_P001, Zm00001eb400550_P001, Zm00001eb409420_P004
OG0000640	AagrBONN_368.220.2	AmTr_v1.0_scaffold00001.563, AmTr_v1.0_scaffold00048.138	AT1G15570.1, AT1G44110.1, AT1G47210.2, AT1G47220.1, AT1G47230.2, AT1G77390.1, AT1G80370.1, AT2G01310.1, AT5G11300.1, AT5G25380.4, AT5G43080.1	Azfi_s0003.g008079, Azfi_s0006.g010440, Azfi_s0022.g016140, Azfi_s0051.g031411, Azfi_s0127.g048725	Cericv21030416m, Cericv21090557m, Cericv21101215m, Cericv21111163m	GBG61580, GBG78114	TnS000166225t01, TnS000692159t07	Klenit1_4910	PTQ43446	ME000058S08628, ME000428S07246	Os01t0233100_00, Os01t0233500_01, Os03t0607600_00, Os05t0237100_01, Os12t0298950_00, Os12t0502300_01, Os12t0581800_01	Pp3c14_23640V3.1.p, Pp3c17_22710V3.1.p, Pp3c1_38770V3.1.p, Pp3c1_39040V3.1.p, Pp3c1_39100V3.1.p, Pp3c1_39120V3.1.p, Pp3c2_8700V3.1.p, Pp3c2_8770V3.1.p, Pp3c2_8780V3.1.p, Pp3c2_9020V3.1.p	PILA_E1/hiseq/c17804_g1_i3|m.3575, PILA_E1_2kb/000174|m.394378, PILA_K_S1/c14937_g1_i2|m.190833	Potri.001G177100.2.p, Potri.002G080000.1.p, Potri.002G121500.1.p, Potri.003G058200.2.p, Potri.005G181400.1.p, Potri.006G247200.1.p, Potri.009G093100.4.p, Potri.014G021100.1.p, Potri.018G034100.1.p	Sacu_v1.1_s0020.g008053, Sacu_v1.1_s0031.g010609, Sacu_v1.1_s0186.g025046, Sacu_v1.1_s0262.g026906, Sacu_v1.1_s0416.g027354	EFJ_427739, EFJ_442428, EFJ_97411, EFJ_97773	SEGI_25337, SEGI_38253, SEGI_41085	SM000053S17381, SM000057S18407, SM000082S22888	VIT_03s0091g00280.t01, VIT_04s0008g04260.t01, VIT_09s0002g05240.t01, VIT_18s0001g02060.t01, VIT_18s0001g02080.t01, VIT_18s0001g09580.t01	Vocar20005704m	Zm00001eb030090_P001, Zm00001eb051770_P001, Zm00001eb128470_P002, Zm00001eb134910_P001, Zm00001eb219220_P001, Zm00001eb227730_P001, Zm00001eb339350_P003, Zm00001eb350330_P002, Zm00001eb400540_P001, Zm00001eb400550_P001, Zm00001eb409420_P004
OG0000640	AagrBONN_368.220.2	AmTr_v1.0_scaffold00001.563, AmTr_v1.0_scaffold00048.138	AT1G15570.1, AT1G44110.1, AT1G47210.2, AT1G47220.1, AT1G47230.2, AT1G77390.1, AT1G80370.1, AT2G01310.1, AT5G11300.1, AT5G25380.4, AT5G43080.1	Azfi_s0003.g008079, Azfi_s0006.g010440, Azfi_s0022.g016140, Azfi_s0051.g031411, Azfi_s0127.g048725	Cericv21030416m, Cericv21090557m, Cericv21101215m, Cericv21111163m	GBG61580, GBG78114	TnS000166225t01, TnS000692159t07	Klenit1_4910	PTQ43446	ME000058S08628, ME000428S07246	Os01t0233100_00, Os01t0233500_01, Os03t0607600_00, Os05t0237100_01, Os12t0298950_00, Os12t0502300_01, Os12t0581800_01	Pp3c14_23640V3.1.p, Pp3c17_22710V3.1.p, Pp3c1_38770V3.1.p, Pp3c1_39040V3.1.p, Pp3c1_39100V3.1.p, Pp3c1_39120V3.1.p, Pp3c2_8700V3.1.p, Pp3c2_8770V3.1.p, Pp3c2_8780V3.1.p, Pp3c2_9020V3.1.p	PILA_E1/hiseq/c17804_g1_i3|m.3575, PILA_E1_2kb/000174|m.394378, PILA_K_S1/c14937_g1_i2|m.190833	Potri.001G177100.2.p, Potri.002G080000.1.p, Potri.002G121500.1.p, Potri.003G058200.2.p, Potri.005G181400.1.p, Potri.006G247200.1.p, Potri.009G093100.4.p, Potri.014G021100.1.p, Potri.018G034100.1.p	Sacu_v1.1_s0020.g008053, Sacu_v1.1_s0031.g010609, Sacu_v1.1_s0186.g025046, Sacu_v1.1_s0262.g026906, Sacu_v1.1_s0416.g027354	EFJ_427739, EFJ_442428, EFJ_97411, EFJ_97773	SEGI_25337, SEGI_38253, SEGI_41085	SM000053S17381, SM000057S18407, SM000082S22888	VIT_03s0091g00280.t01, VIT_04s0008g04260.t01, VIT_09s0002g05240.t01, VIT_18s0001g02060.t01, VIT_18s0001g02080.t01, VIT_18s0001g09580.t01	Vocar20005704m	Zm00001eb030090_P001, Zm00001eb051770_P001, Zm00001eb128470_P002, Zm00001eb134910_P001, Zm00001eb219220_P001, Zm00001eb227730_P001, Zm00001eb339350_P003, Zm00001eb350330_P002, Zm00001eb400540_P001, Zm00001eb400550_P001, Zm00001eb409420_P004
OG0000640	AagrBONN_368.220.2	AmTr_v1.0_scaffold00001.563, AmTr_v1.0_scaffold00048.138	AT1G15570.1, AT1G44110.1, AT1G47210.2, AT1G47220.1, AT1G47230.2, AT1G77390.1, AT1G80370.1, AT2G01310.1, AT5G11300.1, AT5G25380.4, AT5G43080.1	Azfi_s0003.g008079, Azfi_s0006.g010440, Azfi_s0022.g016140, Azfi_s0051.g031411, Azfi_s0127.g048725	Cericv21030416m, Cericv21090557m, Cericv21101215m, Cericv21111163m	GBG61580, GBG78114	TnS000166225t01, TnS000692159t07	Klenit1_4910	PTQ43446	ME000058S08628, ME000428S07246	Os01t0233100_00, Os01t0233500_01, Os03t0607600_00, Os05t0237100_01, Os12t0298950_00, Os12t0502300_01, Os12t0581800_01	Pp3c14_23640V3.1.p, Pp3c17_22710V3.1.p, Pp3c1_38770V3.1.p, Pp3c1_39040V3.1.p, Pp3c1_39100V3.1.p, Pp3c1_39120V3.1.p, Pp3c2_8700V3.1.p, Pp3c2_8770V3.1.p, Pp3c2_8780V3.1.p, Pp3c2_9020V3.1.p	PILA_E1/hiseq/c17804_g1_i3|m.3575, PILA_E1_2kb/000174|m.394378, PILA_K_S1/c14937_g1_i2|m.190833	Potri.001G177100.2.p, Potri.002G080000.1.p, Potri.002G121500.1.p, Potri.003G058200.2.p, Potri.005G181400.1.p, Potri.006G247200.1.p, Potri.009G093100.4.p, Potri.014G021100.1.p, Potri.018G034100.1.p	Sacu_v1.1_s0020.g008053, Sacu_v1.1_s0031.g010609, Sacu_v1.1_s0186.g025046, Sacu_v1.1_s0262.g026906, Sacu_v1.1_s0416.g027354	EFJ_427739, EFJ_442428, EFJ_97411, EFJ_97773	SEGI_25337, SEGI_38253, SEGI_41085	SM000053S17381, SM000057S18407, SM000082S22888	VIT_03s0091g00280.t01, VIT_04s0008g04260.t01, VIT_09s0002g05240.t01, VIT_18s0001g02060.t01, VIT_18s0001g02080.t01, VIT_18s0001g09580.t01	Vocar20005704m	Zm00001eb030090_P001, Zm00001eb051770_P001, Zm00001eb128470_P002, Zm00001eb134910_P001, Zm00001eb219220_P001, Zm00001eb227730_P001, Zm00001eb339350_P003, Zm00001eb350330_P002, Zm00001eb400540_P001, Zm00001eb400550_P001, Zm00001eb409420_P004
OG0000640	AagrBONN_368.220.2	AmTr_v1.0_scaffold00001.563, AmTr_v1.0_scaffold00048.138	AT1G15570.1, AT1G44110.1, AT1G47210.2, AT1G47220.1, AT1G47230.2, AT1G77390.1, AT1G80370.1, AT2G01310.1, AT5G11300.1, AT5G25380.4, AT5G43080.1	Azfi_s0003.g008079, Azfi_s0006.g010440, Azfi_s0022.g016140, Azfi_s0051.g031411, Azfi_s0127.g048725	Cericv21030416m, Cericv21090557m, Cericv21101215m, Cericv21111163m	GBG61580, GBG78114	TnS000166225t01, TnS000692159t07	Klenit1_4910	PTQ43446	ME000058S08628, ME000428S07246	Os01t0233100_00, Os01t0233500_01, Os03t0607600_00, Os05t0237100_01, Os12t0298950_00, Os12t0502300_01, Os12t0581800_01	Pp3c14_23640V3.1.p, Pp3c17_22710V3.1.p, Pp3c1_38770V3.1.p, Pp3c1_39040V3.1.p, Pp3c1_39100V3.1.p, Pp3c1_39120V3.1.p, Pp3c2_8700V3.1.p, Pp3c2_8770V3.1.p, Pp3c2_8780V3.1.p, Pp3c2_9020V3.1.p	PILA_E1/hiseq/c17804_g1_i3|m.3575, PILA_E1_2kb/000174|m.394378, PILA_K_S1/c14937_g1_i2|m.190833	Potri.001G177100.2.p, Potri.002G080000.1.p, Potri.002G121500.1.p, Potri.003G058200.2.p, Potri.005G181400.1.p, Potri.006G247200.1.p, Potri.009G093100.4.p, Potri.014G021100.1.p, Potri.018G034100.1.p	Sacu_v1.1_s0020.g008053, Sacu_v1.1_s0031.g010609, Sacu_v1.1_s0186.g025046, Sacu_v1.1_s0262.g026906, Sacu_v1.1_s0416.g027354	EFJ_427739, EFJ_442428, EFJ_97411, EFJ_97773	SEGI_25337, SEGI_38253, SEGI_41085	SM000053S17381, SM000057S18407, SM000082S22888	VIT_03s0091g00280.t01, VIT_04s0008g04260.t01, VIT_09s0002g05240.t01, VIT_18s0001g02060.t01, VIT_18s0001g02080.t01, VIT_18s0001g09580.t01	Vocar20005704m	Zm00001eb030090_P001, Zm00001eb051770_P001, Zm00001eb128470_P002, Zm00001eb134910_P001, Zm00001eb219220_P001, Zm00001eb227730_P001, Zm00001eb339350_P003, Zm00001eb350330_P002, Zm00001eb400540_P001, Zm00001eb400550_P001, Zm00001eb409420_P004
OG0000640	AagrBONN_368.220.2	AmTr_v1.0_scaffold00001.563, AmTr_v1.0_scaffold00048.138	AT1G15570.1, AT1G44110.1, AT1G47210.2, AT1G47220.1, AT1G47230.2, AT1G77390.1, AT1G80370.1, AT2G01310.1, AT5G11300.1, AT5G25380.4, AT5G43080.1	Azfi_s0003.g008079, Azfi_s0006.g010440, Azfi_s0022.g016140, Azfi_s0051.g031411, Azfi_s0127.g048725	Cericv21030416m, Cericv21090557m, Cericv21101215m, Cericv21111163m	GBG61580, GBG78114	TnS000166225t01, TnS000692159t07	Klenit1_4910	PTQ43446	ME000058S08628, ME000428S07246	Os01t0233100_00, Os01t0233500_01, Os03t0607600_00, Os05t0237100_01, Os12t0298950_00, Os12t0502300_01, Os12t0581800_01	Pp3c14_23640V3.1.p, Pp3c17_22710V3.1.p, Pp3c1_38770V3.1.p, Pp3c1_39040V3.1.p, Pp3c1_39100V3.1.p, Pp3c1_39120V3.1.p, Pp3c2_8700V3.1.p, Pp3c2_8770V3.1.p, Pp3c2_8780V3.1.p, Pp3c2_9020V3.1.p	PILA_E1/hiseq/c17804_g1_i3|m.3575, PILA_E1_2kb/000174|m.394378, PILA_K_S1/c14937_g1_i2|m.190833	Potri.001G177100.2.p, Potri.002G080000.1.p, Potri.002G121500.1.p, Potri.003G058200.2.p, Potri.005G181400.1.p, Potri.006G247200.1.p, Potri.009G093100.4.p, Potri.014G021100.1.p, Potri.018G034100.1.p	Sacu_v1.1_s0020.g008053, Sacu_v1.1_s0031.g010609, Sacu_v1.1_s0186.g025046, Sacu_v1.1_s0262.g026906, Sacu_v1.1_s0416.g027354	EFJ_427739, EFJ_442428, EFJ_97411, EFJ_97773	SEGI_25337, SEGI_38253, SEGI_41085	SM000053S17381, SM000057S18407, SM000082S22888	VIT_03s0091g00280.t01, VIT_04s0008g04260.t01, VIT_09s0002g05240.t01, VIT_18s0001g02060.t01, VIT_18s0001g02080.t01, VIT_18s0001g09580.t01	Vocar20005704m	Zm00001eb030090_P001, Zm00001eb051770_P001, Zm00001eb128470_P002, Zm00001eb134910_P001, Zm00001eb219220_P001, Zm00001eb227730_P001, Zm00001eb339350_P003, Zm00001eb350330_P002, Zm00001eb400540_P001, Zm00001eb400550_P001, Zm00001eb409420_P004
OG0000640	AagrBONN_368.220.2	AmTr_v1.0_scaffold00001.563, AmTr_v1.0_scaffold00048.138	AT1G15570.1, AT1G44110.1, AT1G47210.2, AT1G47220.1, AT1G47230.2, AT1G77390.1, AT1G80370.1, AT2G01310.1, AT5G11300.1, AT5G25380.4, AT5G43080.1	Azfi_s0003.g008079, Azfi_s0006.g010440, Azfi_s0022.g016140, Azfi_s0051.g031411, Azfi_s0127.g048725	Cericv21030416m, Cericv21090557m, Cericv21101215m, Cericv21111163m	GBG61580, GBG78114	TnS000166225t01, TnS000692159t07	Klenit1_4910	PTQ43446	ME000058S08628, ME000428S07246	Os01t0233100_00, Os01t0233500_01, Os03t0607600_00, Os05t0237100_01, Os12t0298950_00, Os12t0502300_01, Os12t0581800_01	Pp3c14_23640V3.1.p, Pp3c17_22710V3.1.p, Pp3c1_38770V3.1.p, Pp3c1_39040V3.1.p, Pp3c1_39100V3.1.p, Pp3c1_39120V3.1.p, Pp3c2_8700V3.1.p, Pp3c2_8770V3.1.p, Pp3c2_8780V3.1.p, Pp3c2_9020V3.1.p	PILA_E1/hiseq/c17804_g1_i3|m.3575, PILA_E1_2kb/000174|m.394378, PILA_K_S1/c14937_g1_i2|m.190833	Potri.001G177100.2.p, Potri.002G080000.1.p, Potri.002G121500.1.p, Potri.003G058200.2.p, Potri.005G181400.1.p, Potri.006G247200.1.p, Potri.009G093100.4.p, Potri.014G021100.1.p, Potri.018G034100.1.p	Sacu_v1.1_s0020.g008053, Sacu_v1.1_s0031.g010609, Sacu_v1.1_s0186.g025046, Sacu_v1.1_s0262.g026906, Sacu_v1.1_s0416.g027354	EFJ_427739, EFJ_442428, EFJ_97411, EFJ_97773	SEGI_25337, SEGI_38253, SEGI_41085	SM000053S17381, SM000057S18407, SM000082S22888	VIT_03s0091g00280.t01, VIT_04s0008g04260.t01, VIT_09s0002g05240.t01, VIT_18s0001g02060.t01, VIT_18s0001g02080.t01, VIT_18s0001g09580.t01	Vocar20005704m	Zm00001eb030090_P001, Zm00001eb051770_P001, Zm00001eb128470_P002, Zm00001eb134910_P001, Zm00001eb219220_P001, Zm00001eb227730_P001, Zm00001eb339350_P003, Zm00001eb350330_P002, Zm00001eb400540_P001, Zm00001eb400550_P001, Zm00001eb409420_P004
OG0000640	AagrBONN_368.220.2	AmTr_v1.0_scaffold00001.563, AmTr_v1.0_scaffold00048.138	AT1G15570.1, AT1G44110.1, AT1G47210.2, AT1G47220.1, AT1G47230.2, AT1G77390.1, AT1G80370.1, AT2G01310.1, AT5G11300.1, AT5G25380.4, AT5G43080.1	Azfi_s0003.g008079, Azfi_s0006.g010440, Azfi_s0022.g016140, Azfi_s0051.g031411, Azfi_s0127.g048725	Cericv21030416m, Cericv21090557m, Cericv21101215m, Cericv21111163m	GBG61580, GBG78114	TnS000166225t01, TnS000692159t07	Klenit1_4910	PTQ43446	ME000058S08628, ME000428S07246	Os01t0233100_00, Os01t0233500_01, Os03t0607600_00, Os05t0237100_01, Os12t0298950_00, Os12t0502300_01, Os12t0581800_01	Pp3c14_23640V3.1.p, Pp3c17_22710V3.1.p, Pp3c1_38770V3.1.p, Pp3c1_39040V3.1.p, Pp3c1_39100V3.1.p, Pp3c1_39120V3.1.p, Pp3c2_8700V3.1.p, Pp3c2_8770V3.1.p, Pp3c2_8780V3.1.p, Pp3c2_9020V3.1.p	PILA_E1/hiseq/c17804_g1_i3|m.3575, PILA_E1_2kb/000174|m.394378, PILA_K_S1/c14937_g1_i2|m.190833	Potri.001G177100.2.p, Potri.002G080000.1.p, Potri.002G121500.1.p, Potri.003G058200.2.p, Potri.005G181400.1.p, Potri.006G247200.1.p, Potri.009G093100.4.p, Potri.014G021100.1.p, Potri.018G034100.1.p	Sacu_v1.1_s0020.g008053, Sacu_v1.1_s0031.g010609, Sacu_v1.1_s0186.g025046, Sacu_v1.1_s0262.g026906, Sacu_v1.1_s0416.g027354	EFJ_427739, EFJ_442428, EFJ_97411, EFJ_97773	SEGI_25337, SEGI_38253, SEGI_41085	SM000053S17381, SM000057S18407, SM000082S22888	VIT_03s0091g00280.t01, VIT_04s0008g04260.t01, VIT_09s0002g05240.t01, VIT_18s0001g02060.t01, VIT_18s0001g02080.t01, VIT_18s0001g09580.t01	Vocar20005704m	Zm00001eb030090_P001, Zm00001eb051770_P001, Zm00001eb128470_P002, Zm00001eb134910_P001, Zm00001eb219220_P001, Zm00001eb227730_P001, Zm00001eb339350_P003, Zm00001eb350330_P002, Zm00001eb400540_P001, Zm00001eb400550_P001, Zm00001eb409420_P004
OG0000640	AagrBONN_368.220.2	AmTr_v1.0_scaffold00001.563, AmTr_v1.0_scaffold00048.138	AT1G15570.1, AT1G44110.1, AT1G47210.2, AT1G47220.1, AT1G47230.2, AT1G77390.1, AT1G80370.1, AT2G01310.1, AT5G11300.1, AT5G25380.4, AT5G43080.1	Azfi_s0003.g008079, Azfi_s0006.g010440, Azfi_s0022.g016140, Azfi_s0051.g031411, Azfi_s0127.g048725	Cericv21030416m, Cericv21090557m, Cericv21101215m, Cericv21111163m	GBG61580, GBG78114	TnS000166225t01, TnS000692159t07	Klenit1_4910	PTQ43446	ME000058S08628, ME000428S07246	Os01t0233100_00, Os01t0233500_01, Os03t0607600_00, Os05t0237100_01, Os12t0298950_00, Os12t0502300_01, Os12t0581800_01	Pp3c14_23640V3.1.p, Pp3c17_22710V3.1.p, Pp3c1_38770V3.1.p, Pp3c1_39040V3.1.p, Pp3c1_39100V3.1.p, Pp3c1_39120V3.1.p, Pp3c2_8700V3.1.p, Pp3c2_8770V3.1.p, Pp3c2_8780V3.1.p, Pp3c2_9020V3.1.p	PILA_E1/hiseq/c17804_g1_i3|m.3575, PILA_E1_2kb/000174|m.394378, PILA_K_S1/c14937_g1_i2|m.190833	Potri.001G177100.2.p, Potri.002G080000.1.p, Potri.002G121500.1.p, Potri.003G058200.2.p, Potri.005G181400.1.p, Potri.006G247200.1.p, Potri.009G093100.4.p, Potri.014G021100.1.p, Potri.018G034100.1.p	Sacu_v1.1_s0020.g008053, Sacu_v1.1_s0031.g010609, Sacu_v1.1_s0186.g025046, Sacu_v1.1_s0262.g026906, Sacu_v1.1_s0416.g027354	EFJ_427739, EFJ_442428, EFJ_97411, EFJ_97773	SEGI_25337, SEGI_38253, SEGI_41085	SM000053S17381, SM000057S18407, SM000082S22888	VIT_03s0091g00280.t01, VIT_04s0008g04260.t01, VIT_09s0002g05240.t01, VIT_18s0001g02060.t01, VIT_18s0001g02080.t01, VIT_18s0001g09580.t01	Vocar20005704m	Zm00001eb030090_P001, Zm00001eb051770_P001, Zm00001eb128470_P002, Zm00001eb134910_P001, Zm00001eb219220_P001, Zm00001eb227730_P001, Zm00001eb339350_P003, Zm00001eb350330_P002, Zm00001eb400540_P001, Zm00001eb400550_P001, Zm00001eb409420_P004
OG0000571	AagrBONN_344.4088.2	AmTr_v1.0_scaffold00001.15, AmTr_v1.0_scaffold00101.105	AT1G20590.1, AT1G20610.1, AT1G34460.5, AT1G76310.3, AT2G17620.1, AT2G26760.1, AT3G11520.1, AT3G27185.1, AT4G35620.1, AT4G37490.1, AT5G06150.1	Azfi_s0040.g026601, Azfi_s0065.g035814, Azfi_s0107.g045114, Azfi_s0113.g045905, Azfi_s0230.g059168, Azfi_s0872.g090692, Azfi_s2407.g111238, Azfi_s2969.g113893	Cericv21022893m, Cericv21066258m, Cericv21075161m, Cericv21085149m, Cericv21089281m, Cericv21104989m	GBG72116, GBG75230, GBG88596	TnS000097081t11, TnS000122753t01, TnS000364231t02, TnS000508917t10	Klenit1_12212	PTQ38958, PTQ42780	ME000243S04010, ME000426S07164	Os01t0281200_01, Os01t0805600_01, Os02t0627800_00, Os04t0563700_01, Os05t0493500_00, Os05t0501350_00, Os06t0726800_01, Os12t0630750_00	Pp3c15_21520V3.1.p, Pp3c9_18910V3.1.p	PILA_BRN/hiseq/c71562_g3_i1|m.63010, PILA_E1/hiseq/c35809_g1_i2|m.16545, PILA_E1_1kb/005946|m.273431, PILA_E1_2kb_1/polished_high/001487|m.1713, PILA_K_S1/c12042_g1_i1|m.187202, PILA_NACLR/hiseq/c65649_g1_i3|m.56485, PILA_Neg_S1/c12083_g1_i1|m.73352, PILA_SDN/miseq/c12539_g1_i1|m.8298, PILA_S_2kb_2/017196|m.624866, PILA_V/hiseq/c54013_g2_i2|m.33844, PILA_V1_1kb_1/019620|m.725488, PILA_V_2kb/016007|m.1014345	Potri.001G272000.1.p, Potri.002G010000.1.p, Potri.005G100000.1.p, Potri.005G251400.2.p, Potri.006G035200.1.p, Potri.009G066600.1.p, Potri.009G165800.1.p, Potri.016G033000.1.p	Sacu_v1.1_s0031.g010562, Sacu_v1.1_s0057.g014779, Sacu_v1.1_s0200.g025590, Sacu_v1.1_s0210.g025884	EFJ_230742	SEGI_06173, SEGI_15260, SEGI_20852, SEGI_28225, SEGI_35265, SEGI_37369	SM000012S25370, SM000095S24983, SM000123S25867	VIT_03s0038g02800.t01, VIT_06s0009g02090.t01, VIT_08s0040g00930.t01, VIT_13s0067g01420.t01, VIT_18s0001g14170.t01	Vocar20003768m	Zm00001eb073920_P001, Zm00001eb150450_P001, Zm00001eb272010_P001, Zm00001eb305730_P001, Zm00001eb309490_P001, Zm00001eb317280_P001, Zm00001eb332550_P001, Zm00001eb352410_P001, Zm00001eb369340_P001, Zm00001eb429190_P001
